Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
290,HP,"42,34,52,101",2541.8,0.1,0.1,314.8
291,HMENF,"42,36,30,102",-7.1,0,0,-1.8
292,HSY,"42,78,66,108",193,0.5,0.1,499.2
293,HPQ,40434L105,18087.5,0.2,0.2,3684.5
294,HXL,"42,82,91,108",643.1,1,0.8,67
295,HICKA,"42,88,39,104",0.1,0,0,-0.6
296,HFC,"43,61,06,108",6126.9,0.1,0.2,360.4
297,PNK,72348Y105,758,2,1.8,-47.5
298,HD,"43,70,76,102",-28637.5,0.3,0.1,4375.2
299,HOFD,43739D307,290.3,0.9,0.1,11.2
300,HNI,"40,42,51,100",-181.4,0.2,0.1,78.5
301,HPHW,"43,91,04,209",-219.2,0,0,-10.3
302,HRL,"44,04,52,100",-441.8,0.1,0.1,350.9
303,HOV,"44,24,87,203",-597.1,16,3.5,-64.6
304,HUBB,"44,35,10,607",3098.7,0.2,0.1,199.2
305,JBHT,"44,56,58,107",-2189.7,0.4,0.2,203.2
306,HURC,"44,73,24,104",444.2,0.1,0.2,8.5
307,HBP,"44,84,51,104",242.5,0.4,1.2,-1.5
308,IEC,44949L105,-120.6,0.5,1,-2.9
309,ITT,45073V108,6421.9,0.1,0.1,418.5
310,ITW,"45,23,08,109",10269.9,0.2,0.1,1586.2
311,TLGT,87960W104,590.1,0.4,0.2,-0.9
312,IMMU,"45,29,07,108",-173.1,1,0.1,-13.3
313,IMO,"45,30,38,408",-17587.5,0.1,0.1,2436.2
314,IEHC,44949K107,11.2,0,0.1,0.8
315,IR,G47791101,-2268.1,0.3,0.3,669
316,AEGN,00770F104,1097.2,0.3,0.3,20
317,GFF,"39,84,33,102",118.6,0.4,0.6,19.9
318,IDTI,"45,81,18,106",-1149.5,0,0,-28.8
319,INTC,"45,81,40,100",58787.5,0.1,0,7912.5
320,INS,45816D100,103.6,0,0,1.4
321,INRD,45779C107,-13.5,0.5,0.6,-0.6
322,ITDN,"45,86,61,204",0,0,0,0
323,TILE,"45,86,65,304",683.4,0.7,0.8,-1.6
324,IBM,"45,92,00,101",27806.2,0.3,0.2,11124.9
325,IFF,"45,95,06,101",-4084.1,0.5,0.2,240.5
326,NAV,"63,90,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000",0,1.3,2.2,-135.1
327,IDCC,45867G101,1052.6,0.1,0.1,72.5
328,IP,"46,01,46,103",-10993.8,0.6,0.8,418.2
329,ISCA,"46,03,35,201",1165.5,0.3,0.2,52.5
330,ENB,29250N105,4908.8,1,0.8,788.5
331,IPG,"46,06,90,100",-1312.7,0.2,0.4,105.7
332,ISRL,"46,51,41,406",90.8,1.2,0.4,-1.4
333,AXE,"3,52,90,105",-673.1,0.4,0.4,121
334,JEC,"46,98,14,107",1373.5,0,0,248.2
335,EME,29084Q100,2787.6,0.1,0.1,92.4
336,JNJ,"47,81,60,104",40650,0.1,0,10590.5
337,JCI,G51502105,-2657.5,0.2,0.2,948.7
338,KLAC,"48,24,80,100",1717.5,0.2,0.1,336.5
339,SHLD,"81,23,50,106",5881.2,0.2,1.8,-628.4
340,PNRG,"74,20,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000",-147,0.9,0.9,6.5
341,KAMN,"48,35,48,103",-480.3,0.2,0.2,32
342,KSU,"48,51,70,302",-1003.7,0.5,0.6,209.1
343,KATYQ,"48,60,26,107",215.5,0.2,1.3,-15.2
344,K,"48,78,36,108",279.4,0.8,0.3,962.5
345,KELYA,"48,81,52,208",-263.7,0,0,25.1
346,KMT,"48,91,70,100",1043.7,0.3,0.3,72.1
347,IHRC,"46,15,56,102",6.7,0,0.2,1.4
348,KEQU,"49,28,54,104",31.1,0,0.1,2.1
349,KBAL,"49,42,74,103",182.8,0,0,18.5
350,KMB,"49,43,68,103",-1335.6,0.4,0.1,1681.8
351,KEX,"49,72,66,106",-117.2,0.3,0.2,127
352,KOSS,"50,06,92,108",35.6,0,0,3.1
353,KR,"50,10,44,101",3262.5,0.6,0.5,1025.7
354,KLIC,"50,12,42,101",1646.8,0.8,0.5,18.8
355,LYTS,50216C108,94,0,0,5.3
356,LXU,"50,21,60,104",-427.5,1.1,1.4,22.3
357,XCRA,98400J108,-723.5,0.3,0.2,-24.2
358,LZB,"50,53,36,107",704.5,0.1,0.1,28.8
359,LRCX,"51,28,07,108",19166.1,0.2,0.1,271.3
360,LANC,"51,38,47,103",970.1,0,0,89
361,LNCE,"83,35,51,104",5751,0.2,0.1,40.3
362,LAWS,"52,07,76,105",97.3,0,0,2.3
363,LEE,"52,37,68,109",-585.3,2.9,5,-19.1
364,LEG,"52,46,60,107",-1104.4,0.4,0.2,195.7
365,LEN,"52,60,57,104",5490.6,0.7,0.9,259.9
366,LEFUF,"52,66,82,109",-630.7,0.1,0.1,54
367,LCAR,"52,68,67,106",-2.6,0,0,-0.2
368,LUK,"52,72,88,104",22922.6,0.3,0.5,283.4
369,LLY,"53,24,57,108",12802.5,0.3,0.1,2859.9
370,LB,"50,17,97,104",3052.7,0.9,0.3,701.4
371,LECO,"53,39,00,106",2578.5,0.1,0.1,148
372,LBLCF,"53,94,81,101",-4881.2,0.5,0.4,565.6
373,LMT,"53,98,30,109",-543.8,0.3,0.2,2088
374,L,"54,04,24,108",3956.3,0.1,0.6,1141.6
375,RRC,75281A109,-73.3,0.7,0.5,51.2
376,LPX,"54,63,47,105",-1076.9,0.4,0.7,-2.1
377,LOW,"54,86,61,107",-16423.6,0.3,0.2,2084.5
378,LUB,"54,92,82,101",-134.5,0.2,0.3,-3.6
379,LDL,"55,08,19,106",1248,0.1,0.1,9.3
380,LGL,50186A108,225,0.1,0.3,-1.2
381,MDC,"55,26,76,108",526.5,0.5,0.5,70
382,MTSC,"55,37,77,103",4114.5,0.1,0.1,32.6
383,PALDF,65704X109,-451.7,0.3,0.5,-47.6
384,MGA,"55,92,22,401",10368.8,0,0.1,827.1
385,MTW,"56,35,71,405",1374.1,0.6,0.8,21.8
386,MRO,"56,58,49,106",25187.5,0.2,0.3,1911.9
387,MCS,"56,63,30,106",202.8,0.5,0.6,27.8
388,HST,44107P104,-2960,1.3,1,220.9
389,MMC,"57,17,48,102",9700,0.3,0.2,1043.7
390,MAS,"57,45,99,106",320.8,0.8,0.5,254.4
391,MAT,"57,70,81,102",1618.2,0.3,0.1,460.1
392,MXWL,"57,77,67,106",-5.1,0.1,0,-11.3
393,MAYS,"57,84,73,100",23.4,0.2,0.3,1
394,MKC,"57,97,80,206",-3718.7,0.3,0.1,279.5
395,MDR,"58,00,37,109",4258.5,0.1,0.3,65.5
396,MCD,"58,01,35,101",-17555.6,0.6,0.2,3528.1
397,MGRC,"58,05,89,109",-523.5,0.4,0.4,36.2
398,SPGI,78409V104,-437.2,0.2,0.1,729
399,MCRAA,"58,27,57,209",77.7,0,0.1,3.6
400,MKTY,"58,35,38,202",-152.8,0,0,-5
401,GENC,"36,86,78,108",49.4,0.3,0.8,7
402,MDT,G5960L103,-1190,0.3,0.1,2481.2
403,PSSR,70285Y104,-6.8,-1.3,2.1,-0.1
404,CVS,"12,66,50,100",-27526.3,0.2,0.1,2563.7
405,MRK,58933Y105,20758.1,0.2,0.1,6313.4
406,MDP,"58,94,33,101",-570.5,0.3,0.2,95.2
407,MLAB,59064R109,94.6,0.1,0,5.2
408,MSB,"59,06,72,101",8.1,0,0,18
409,MEI,"59,15,20,200",993.2,0,0,26.5
410,EVI,29414M100,12.2,0,0,0.7
411,MXC,"59,27,70,101",-12.8,0.2,0.2,0.2
412,SIEB,"82,61,76,109",-103,0,0,-0.6
413,MU,"59,51,12,103",25158.8,0.2,0.3,237.3
414,MPAD,"59,51,35,104",74.3,0,0,1.3
415,MSCC,"59,51,37,100",8279.7,0.2,0.1,21.7
416,MFCO,"59,51,76,108",5,0,0.1,0
417,MSEX,"59,66,80,108",-18.5,0.5,0.5,11.6
418,MKRS,"59,86,26,307",14.8,0,0,0.1
419,MLHR,"60,05,44,100",-115.6,0.5,0.2,70.1
420,MLLS,"60,05,48,200",8.2,4.3,7.5,0.1
421,MSA,"55,34,98,106",7.3,0.2,0.2,62.5
422,MMM,88579Y101,-11512.5,0.2,0.1,3477.4
423,MOD,"60,78,28,100",2817.7,0.2,0.4,12.7
424,MCEM,"60,90,31,307",-3,0.1,0.3,7.7
425,QDEL,74838J101,1058.6,0.2,0.1,5.2
426,MOG.A,"61,53,94,202",1335.9,0.4,0.5,90.6
427,MSI,"62,00,76,307",1037.5,0.3,0.2,431
428,MUR,"62,67,17,102",-673.6,0.2,0.2,560.2
429,INTG,"45,86,85,104",-4.7,2.1,2.7,0.6
430,MYE,"62,84,64,109",9.2,0.5,0.5,7.4
431,NCR,"62,90,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000",-3650,0.2,0.2,168.2
432,NL,"62,91,56,407",741.6,0.1,0.1,52.6
433,BMRA,09061H307,7.8,0,0,-0.1
434,NANO,"63,00,77,105",-229.5,0,0.1,-5.4
